source_sheet,source_row_id,project_scope,language,source_layer,code_family,code,label_en,label_cn,keyword_original,keyword_translation_or_note,current_pipeline_status,reviewer,review_decision,keyword_final,notes,reviewed_at
Chinese,2,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,交通不便,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,交通不便,,2026-06-18
Chinese,3,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,不方便,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不方便,,2026-06-18
Chinese,4,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,公交,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,公交,,2026-06-18
Chinese,5,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,巴士,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,巴士,,2026-06-18
Chinese,6,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,班次少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,班次少,,2026-06-18
Chinese,7,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,车次少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,车次少,,2026-06-18
Chinese,8,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,火车少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,火车少,,2026-06-18
Chinese,9,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,电车少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,电车少,,2026-06-18
Chinese,10,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,出租车少,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,出租车少,,2026-06-18
Chinese,11,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,打车难,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,打车难,,2026-06-18
Chinese,12,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,远,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,远,,2026-06-18
Chinese,13,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,难去,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,难去,,2026-06-18
Chinese,14,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,不好去,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不好去,,2026-06-18
Chinese,15,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,转车,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,转车,,2026-06-18
Chinese,16,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,换乘,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,换乘,,2026-06-18
Chinese,17,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,停车,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,停车,,2026-06-18
Chinese,18,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,transport_access,Transport / Access,交通/無障礙設施,自驾,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,自驾,,2026-06-18
Chinese,19,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,指示,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,指示,,2026-06-18
Chinese,20,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,标识,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,标识,,2026-06-18
Chinese,21,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,标志,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,标志,,2026-06-18
Chinese,22,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,路牌,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,路牌,,2026-06-18
Chinese,23,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,导览,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,导览,,2026-06-18
Chinese,24,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,地图,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,地图,,2026-06-18
Chinese,25,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,迷路,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,迷路,,2026-06-18
Chinese,26,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,找不到,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,找不到,,2026-06-18
Chinese,27,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,入口难找,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,入口难找,,2026-06-18
Chinese,28,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,wayfinding_signage,Wayfinding / Signage,尋路/標識,不好找,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不好找,,2026-06-18
Chinese,29,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,英语,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,FIX,都是英语,,2026-06-18
Chinese,30,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,英文,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,repeat,2026-06-18
Chinese,31,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,外语,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,repeat,2026-06-18
Chinese,32,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,多语言,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,,2026-06-18
Chinese,33,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,翻译,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,,2026-06-18
Chinese,34,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,中文,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,repeat,2026-06-18
Chinese,35,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,中文说明,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,中文说明,,2026-06-18
Chinese,36,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,没有中文,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,没有中文,,2026-06-18
Chinese,37,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,language_information_gap,Language Information Gap,語言資訊不足,看不懂,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,看不懂,,2026-06-18
Chinese,38,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,沟通,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,FIX,沟通不畅,,2026-06-18
Chinese,39,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,服务差,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,服务差,,2026-06-18
Chinese,40,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,态度差,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,态度差,,2026-06-18
Chinese,41,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,不友好,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不友好,,2026-06-18
Chinese,42,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,不耐烦,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不耐烦,,2026-06-18
Chinese,43,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,解释不清,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,解释不清,,2026-06-18
Chinese,44,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,说明不足,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,说明不足,,2026-06-18
Chinese,45,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,店员,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,店员,,2026-06-18
Chinese,46,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,staff_communication,Staff Communication,員工溝通,工作人员,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,UNLESS,2026-06-18
Chinese,47,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,预约,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,预约,,2026-06-18
Chinese,48,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,订票,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,订票,,2026-06-18
Chinese,49,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,门票,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,门票,,2026-06-18
Chinese,50,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,买票,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,,2026-06-18
Chinese,51,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,排队买票,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,排队买票,,2026-06-18
Chinese,52,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,售罄,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,售罄,,2026-06-18
Chinese,53,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,满员,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,满员,,2026-06-18
Chinese,54,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,现金,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,FIX,要用现金,,2026-06-18
Chinese,55,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,不能刷卡,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不能刷卡,,2026-06-18
Chinese,56,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,支付,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,,2026-06-18
Chinese,57,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,booking_ticketing,Booking / Ticketing,預訂/購票,支付不便,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,支付不便,,2026-06-18
Chinese,58,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,人多,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,人多,,2026-06-18
Chinese,59,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,拥挤,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,拥挤,,2026-06-18
Chinese,60,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,排队,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,排队,,2026-06-18
Chinese,61,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,等很久,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,等很久,,2026-06-18
Chinese,62,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,等待,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,,2026-06-18
Chinese,63,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,排长队,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,排长队,,2026-06-18
Chinese,64,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,堵车,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,堵车,,2026-06-18
Chinese,65,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,挤,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,挤,,2026-06-18
Chinese,66,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,waiting_crowding,Waiting / Crowding,等候/擁擠程度,爆满,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,爆满,,2026-06-18
Chinese,67,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,贵,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,贵,,2026-06-18
Chinese,68,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,太贵,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,太贵,,2026-06-18
Chinese,69,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,价格高,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,价格高,,2026-06-18
Chinese,70,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,费用高,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,,2026-06-18
Chinese,71,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,门票贵,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,门票贵,,2026-06-18
Chinese,72,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,停车费,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,停车费,,2026-06-18
Chinese,73,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,性价比低,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,性价比低,,2026-06-18
Chinese,74,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,不值,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不值,,2026-06-18
Chinese,75,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,price_value,Price / Value,價格/性價比,坑,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,坑,,2026-06-18
Chinese,76,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,脏,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,脏,,2026-06-18
Chinese,77,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,不干净,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不干净,,2026-06-18
Chinese,78,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,卫生差,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,卫生差,,2026-06-18
Chinese,79,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,厕所,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,厕所,,2026-06-18
Chinese,80,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,味道大,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,味道大,,2026-06-18
Chinese,81,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,太热,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,太热,,2026-06-18
Chinese,82,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,太冷,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,太冷,,2026-06-18
Chinese,83,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,cleanliness_comfort,Cleanliness / Comfort,清潔度/舒適度,休息,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,休息,,2026-06-18
